No,Code,Diali,GDCD,Hoahoc,KHTN,KHXH,LichSu,Ngoaingu,Nguvan,Sinhhoc,Toan,Vatli,city
539833,2000296,,,3.75,5.25,,,8.2,8.25,5.5,8.0,6.5,2.0
539834,2000297,6.5,7.0,,,5.92,4.25,5.6,5.5,,6.4,,2.0
539835,2000298,,,5.5,5.92,,,5.6,7.25,6.25,8.0,6.0,2.0
539836,2000299,8.25,9.0,,,8.17,7.25,6.2,6.75,,6.0,,2.0
539837,2000300,,,5.0,4.83,,,5.6,6.5,5.5,6.6,4.0,2.0
539838,2000301,,,6.25,6.25,,,8.6,5.5,5.25,8.2,7.25,2.0
539839,2000302,,,8.0,7.58,,,5.8,6.5,7.25,7.4,7.5,2.0
539840,2000303,,,6.0,5.17,,,9.2,7.5,4.5,7.6,5.0,2.0
539841,2000304,,,7.5,6.17,,,5.0,5.5,4.5,7.8,6.5,2.0
539842,2000305,,,8.25,6.83,,,8.6,8.5,5.25,8.4,7.0,2.0
539843,2000306,,,7.0,6.67,,,5.4,6.0,5.5,8.6,7.5,2.0
539844,2000307,,,6.25,5.83,,,6.8,6.0,5.5,6.8,5.75,2.0
539845,2000308,,,3.75,5.08,,,8.4,6.75,4.0,9.0,7.5,2.0
539846,2000309,,,7.75,6.5,,,8.8,7.5,6.0,7.2,5.75,2.0
539847,2000310,,,6.75,6.25,,,5.0,5.0,7.0,7.4,5.0,2.0
539848,2000311,,,5.75,5.58,,,6.6,5.75,3.25,8.8,7.75,2.0
539849,2000312,,,4.75,6.33,,,8.4,6.5,5.75,8.8,8.5,2.0
539850,2000313,,,5.5,5.92,,,8.0,6.75,3.75,8.4,8.5,2.0
539851,2000314,,,6.75,5.83,,,6.0,6.5,6.0,7.0,4.75,2.0
539852,2000315,,,7.5,5.42,,,6.6,4.75,4.5,8.2,4.25,2.0
539853,2000316,,,5.25,6.25,,,8.2,5.25,6.5,7.0,7.0,2.0
