Code,Nguvan,Toan,Ngoaingu,Mon 1,Mon 2,Mon 3, TB ,Xep Loai
2000284,>=7,>=7,>=7,"[1,6)","[6,7)",>=7, 7.12 ,TB
2000285,>=7,>=7,"[6,7)","[1,6)",>=7,>=7, 7.17 ,TB
2000286,"[6,7)","[6,7)","[1,6)","[1,6)","[1,6)",>=7, 6.16 ,TB
2000287,"[6,7)",>=7,"[1,6)","[1,6)","[1,6)","[6,7)", 5.70 ,TB
2000288,>=7,>=7,>=7,"[1,6)",>=7,>=7, 7.43 ,TB
2000289,>=7,"[1,6)",>=7,>=7,>=7,>=7, 7.53 ,TB
2000290,"[1,6)","[1,6)","[1,6)","[1,6)","[1,6)",>=7, 4.62 ,0
2000291,"[6,7)","[1,6)","[1,6)","[1,6)",>=7,>=7, 6.04 ,TB
2000292,>=7,>=7,"[6,7)",>=7,>=7,>=7, 7.81 ,K
2000293,>=7,"[1,6)",>=7,"[1,6)","[6,7)",>=7, 6.25 ,TB
2000294,>=7,>=7,"[1,6)","[1,6)","[6,7)",>=7, 6.63 ,TB
2000295,>=7,"[6,7)","[6,7)","[1,6)",>=7,>=7, 6.92 ,TB
2000296,"[6,7)","[1,6)","[1,6)","[1,6)","[6,7)","[6,7)", 5.42 ,TB
2000297,"[1,6)","[1,6)","[1,6)","[1,6)","[1,6)",>=7, 4.63 ,0
2000298,>=7,>=7,>=7,>=7,"[6,7)","[6,7)", 7.68 ,K
2000299,>=7,>=7,>=7,"[6,7)",>=7,>=7, 8.10 ,K
2000300,>=7,"[6,7)",>=7,"[1,6)",>=7,>=7, 6.56 ,TB
2000301,"[6,7)",>=7,>=7,"[1,6)",>=7,>=7, 7.24 ,TB
2000302,"[6,7)",>=7,"[1,6)","[1,6)",>=7,>=7, 6.66 ,TB
2000303,>=7,>=7,"[1,6)",>=7,"[6,7)",>=7, 7.02 ,TB
2000304,>=7,"[6,7)",>=7,"[6,7)",>=7,>=7, 7.36 ,K
2000305,>=7,>=7,>=7,"[1,6)","[1,6)","[6,7)", 6.37 ,TB
2000306,"[6,7)","[1,6)","[1,6)","[1,6)","[1,6)","[1,6)", 4.64 ,0
2000307,>=7,"[6,7)",>=7,"[6,7)","[6,7)",>=7, 7.05 ,K
2000308,>=7,>=7,>=7,"[1,6)","[1,6)",>=7, 6.16 ,0
2000309,>=7,>=7,>=7,>=7,>=7,>=7, 8.18 ,G
